doi,title,authors
,,"03 Se, Hua Bai, Mengmeng Wang, Xiaohui Yang, Yupeng Li, Jiang Ma, Xikang Sun, Qian Tao, Linjun Li, Zhu-An Xu"
10.1002/1521-396x(200102)183:2<r1::aid-pssa99991>3.0.co;2-b,On Order-Disorder (L21 ? B2?) Phase Transition in Ni2+xMn1?xGa Heusler Alloys,"V V Khovailo, T Takagi, A N Vasilev, H Miki, M Matsumoto, R Kainuma"
10.1002/1521-396x(200112)188:3<1187::aid-pssa1187>3.0.co;2-5,Transport and Magnetic Anisotropy in CMR Thin Film La1-xCaxMnO3 (x ? 1/3) Induced by a Film-Substrate Interaction,"B I Belevtsev, V B Krasovitsky, D G Naugle, K D D Rathnayaka, A Parasiris, S R Surthi, R K Pandey, M A Rom"
10.1002/3527600434.eap738,Cuprate High-Temperature Superconductors,"Roland Hott, Thomas Wolf"
10.1002/3527600434.eap790,Review on Superconducting Materials,"Roland Hott, Reinhold Kleiner, Thomas Wolf, Gertrud Zwicknagl"
10.1002/9780470022184.hmm506,High-temperature Superconductivity-Magnetic Mechanisms,Michael R Norman
10.1002/9781118405932.ch32,Synthesis and Sintering of MgB2 under High Pressure,"T A Prikhna, Ya M Savchuk, N V Sergienko, V E Moshchil, S N Dub, P A Nagorny, W Gawalek, T Habisreuther, M Wendt, A B Surzhenko, D Litzkendorf, Ch Schmidt, J Dellith, V S Melnikov"
10.1002/9781119234531.ch25,Tunneling and Photoemission Spectra in Cuprate Superconductors: Evidence for Strong Multiple-Phonon Coupling and Polaronic Effects,"Guo-Meng Zhao, A S Alexandrov"
10.1002/9783527618606,What is What in the Nanoworld,"Victor E Borisenko, Stefano Ossicini"
10.1002/9783527620548.ch4b,Quantum Tunneling of Magnetization in Molecular Complexes with Large Spins - Effect of the Environment,"Igor Tupitsyn, Bernard Barbara"
10.1002/9783527694822.ch9,Atomic Layer Deposition of Thermoelectric Materials,"Maarit Karppinen, Antti J Karttunen"
10.1002/adma.200600931,Crystal Growth and Characterization of the Model High-Temperature Superconductor HgBa2CuO4+δ,"Xudong Zhao, Guichuan Yu, Y-C Cho, Guillaume Chabot-Couture, Neven Barišić, Philippe Bourges, Nobuhisa Kaneko, Yuan Li, Li Lu, Eugene M Motoyama, Owen P Vajk, Martin Greven"
10.1002/adma.200801527,Very High Critical Field and SuperiorJc-Field Performance in NdFeAsO0.82F0.18withTcof 51 K,"Xiaolin Wang, Shaban Reza Ghorbani, Germanas Peleckis, Shixue Dou"
10.1002/adma.201305154,Pressure-Induced Superconductivity and Its Scaling with Doping-Induced Superconductivity in the Iron Pnictide with Skutterudite Intermediary Layers,"Peiwen Gao, Liling Sun, Ni Ni, Jing Guo, Qi Wu, Chao Zhang, Dachun Gu, Ke Yang, Aiguo Li, Sheng Jiang, Robert Joseph Cava, Zhongxian Zhao"
10.1002/adma.201401518,Orbital Occupancy and Charge Doping in Iron-Based Superconductors,"Claudia J E Cantoni, Jonathan E Mitchell, Andrew F May, Michael A Mcguire, Juan-Carlos Idrobo, Tom Berlijn, Elbio Dagotto, Matthew F Chisholm, Wu Zhou, Stephen J Pennycook, Athena S Sefat, Brian C Sales"
10.1002/adma.201600602,Toward Superconducting Critical Current by Design,"Ivan A Sadovskyy, Ying Jia, Maxime Leroux, Jihwan Kwon, Hefei Hu, Lei Fang, Carlos Chaparro, Shaofei Zhu, Ulrich Welp, Jian-Min Zuo, Yifei Zhang, Ryusuke Nakasaki, Venkat Selvamanickam, George W Crabtree, Alexei E Koshelev, Andreas Glatz, Wai-Kwong Kwok"
10.1002/adma.201605965,Topological Quantum Phase Transition and Superconductivity Induced by Pressure in the Bismuth Tellurohalide BiTeI,"Yanpeng Qi, Wujun Shi, Pavel G Naumov, Nitesh Kumar, Raman Sankar, Walter Schnelle, Chandra Shekhar, Fang-Cheng Chou, Claudia Felser, Binghai Yan, Sergey A Medvedev"
10.1002/adma.201801556,Band Structure Perfection and Superconductivity in Type-II Dirac Semimetal Ir1− x Pt x Te2,"Fucong Fei, Xiangyan Bo, Pengdong Wang, Jianghua Ying, Jian Li, Ke Chen, Qing Dai, Bo Chen, Zhe Sun, Minhao Zhang, Fanming Qu, Yi Zhang, Qianghua Wang, Xuefeng Wang, Lu Cao, Haijun Bu, Fengqi Song, Xiangang Wan, Baigeng Wang"
10.1002/adma.201807240,Record‐High Superconductivity in Niobium–Titanium Alloy,"Jing Guo, Gongchang Lin, Shu Cai, Chuanying Xi, Changjin Zhang, Wanshuo Sun, Qiuliang Wang, Ke Yang, Aiguo Li, Qi Wu, Yuheng Zhang, Tao Xiang, Robert Joseph Cava, Liling Sun"
10.1002/adma.201904641,Phase Transition and Superconductivity Enhancement in Se‐Substituted MoTe 2 Thin Films,"Peiling Li, Jian Cui, Jiadong Zhou, Dong Guo, Zhenzheng Zhao, Jian Yi, Jie Fan, Zhongqing Ji, Xiunian Jing, Fanming Qu, Changli Yang, Li Lu, Junhao Lin, Zheng Liu, Guangtong Liu"
10.1002/advs.201600098,"Understanding Doping, Vacancy, Lattice Stability, and Superconductivity in KxFe2−ySe2","Yu G Liu, Gang Wang, Tianping Ying, Xiaofang Lai, Shifeng Jin, Ning Liu, Jiangping Hu, Xiaolong Chen"
10.1002/andp.200310034,Vorticity and the Nernst effect in cuprate superconductors,"N P Ong, Yayu Wang, S Ono, Yoichi Ando, S Uchida"
10.1002/andp.200310069,Unconventional superconductivity and magnetism in Sr2RuO4 and related materials,"I Eremin, D Manske, S G Ovchinnikov, J F Annett"
10.1002/andp.200510194,Electrodynamics of correlated electron matter,"S V Dordevic, D N Basov"
10.1002/andp.201200007,The t-U-V-J model in cuprates: Strengths of the interactions,Z G Koinov
10.1002/andp.201500316,High-temperature study of superconducting hydrogen and deuterium sulfide,"A P Durajski, R Szczȩśniak, L Pietronero"
10.1002/andp.201600390,London penetration depth and thermal fluctuations in the sulphur hydride 203 K superconductor,"E F Talantsev, W P Crump, J G Storey, J L Tallon"
10.1002/andp.201700197,Thermodynamic Parameters of Single- or Multi-Band Superconductors Derived from Self-Field Critical Currents,"Evgueni Talantsev, Wayne P Crump, Jeffery L Tallon"
10.1002/andp.201800139,Unbalanced Superconductivity Induced by the Constant Electron-Phonon Coupling on a Square Lattice,"Kamila A Szewczyk, Radosław Szczȩśniak, Dominik Szczȩśniak"
10.1002/andp.201900177,A 3D Tight‐Binding Model for La‐Based Cuprate Superconductors,"Raphaël Photopoulos, Raymond Frésard"
10.1002/andp.201900298,The Role of Odd‐Frequency Pairing in Multiband Superconductors,"Christopher Triola, Jorge Cayao, Annica M Black‐schaffer"
10.1002/ange.201605504,Ground-State Chemical Reactivity under Vibrational Coupling to the Vacuum Electromagnetic Field,"Anoop Thomas, Jino George, Atef Shalabney, Marian Dryzhakov, Sreejith J Varma, Joseph Moran, Thibault Chervy, Xiaolan Zhong, Eloïse Devaux, Cyriaque Genet, James A Hutchison, Thomas W Ebbesen"
10.1002/ange.201710512,Structure Re-determination and Superconductivity Observation of Bulk 1T MoS2,"Yuqiang Fang, Jie Pan, Jianqiao He, Ruichun Luo, Dong Wang, Xiangli Che, Kejun Bu, Wei Zhao, Pan Liu, Gang Mu, Hui Zhang, Tianquan Lin, Fuqiang Huang"
10.1002/anie.200803641,Superconductivity and Crystal Structures of (Ba1−xKx)Fe2As2(x=0-1),"Marianne Rotter, Michael Pangerl, Marcus Tegel, Dirk Johrendt"
10.1002/anie.201104436,Superconductivity up to 35 K in the Iron Platinum Arsenides (CaFe1−xPtxAs)10Pt4−yAs8 with Layered Structures,"Catrin Löhnert, Tobias Stürzer, Marcus Tegel, Rainer Frankovsky, Gina Friederichs, Dirk Johrendt"
10.1002/anie.201407756,Coexistence of 3d-Ferromagnetism and Superconductivity in [(Li1−xFex)OH](Fe1−yLiy)Se,"Ursula Pachmayr, Fabian Nitsche, Hubertus Luetkens, Sirko Kamusella, Felix Brückner, Rajib Sarkar, Hans-Henning Klauss, Dirk Johrendt"
10.1002/chem.201705321,Superconducting Hydrogen Sulfide,"Yansun Yao, John S Tse"
10.1002/chin.200127225,ChemInform Abstract: Spin Configurations in Carbon Nanotubes,Krzysztof Byczuk
10.1002/chin.200205249,"ChemInform Abstract: Ferromagnetism and Transport in the Double-Exchange Model, With and Without Phonons; Application to the Manganites.","D M Edwards, A C M Green"
10.1002/chin.200312014,"Crystal Structure and Magnetic Properties of a New Two-Dimensional S = 1 Quantum Spin System Ni5(TeO3)4X2 (X: Cl, Br).","Mats Johnsson, Karl W Toernroos, Peter Lemmens, Patrice Millet"
10.1002/chin.200313205,Magnetic Flux Penetration and Motion in Antiferromagnetic Superconductors,Tomasz Krzysztoń
10.1002/chin.200321222,Magnetic Properties of Heavy Fermion Superconductors CeRhIn5 and Ce2RhIn8,"Wei Bao, G Aeppli, A D Christianson, Z Fisk, M F Hundley, A H Lacerda, J W Lynn, P G Pagliuso, J L Sarrao, J D Thompson"
10.1002/chin.200336206,How to Make Semiconductors Ferromagnetic: A First Course on Spintronics,"S Das Sarma, E H Hwang, A Kaminski"
10.1002/chin.200343201,Magnetism of Carbon-Based Materials,Tatiana Makarova
10.1002/chin.200441225,Magnetic Resonant Excitations in High-Tc Superconductors,"Y Sidis, S Pailhes, B Keimer, P Bourges, C Ulrich, L P Regnault"
